ID,Visits,Items,Total,Age,Solo?,Duplicates?
1,4,2,3,2,0,0
2,3,1,2,1,1,0
3,1,1,2,2,1,0
4,2,1,2,2,1,0
5,2,2,2,2,1,0
6,1,1,3,2,1,0
7,3,2,2,2,0,1
8,2,2,3,2,1,0
9,3,1,3,2,1,0
10,2,2,2,2,0,1
11,3,1,3,2,1,0
12,2,2,2,2,1,0
13,1,2,3,2,1,0
14,2,3,4,2,0,1
15,4,2,5,2,0,0
16,1,1,3,2,1,0
17,2,2,2,2,1,0
18,3,1,3,2,1,1
19,2,2,2,3,1,0
20,2,2,3,3,1,0
21,3,3,4,3,1,1
22,2,1,4,3,0,1
23,2,3,2,3,1,0
24,3,2,5,3,0,0
25,3,2,4,3,1,0
26,4,3,4,3,1,0
27,3,2,5,3,0,0
28,4,2,2,3,1,0
29,3,3,4,4,0,1
30,2,2,5,4,1,0
31,2,3,4,4,1,1
32,4,3,5,4,1,0
33,3,3,5,4,0,1
34,1,3,5,4,0,0
35,1,3,5,4,0,0
36,2,3,5,4,0,1
37,2,4,5,5,0,0
38,3,3,5,5,0,1
39,1,4,5,5,0,0
40,3,3,5,5,0,1